,Count,City,Zip Code,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Churn Reason
0,1,Los Angeles,90003,33.964131,-118.272783,Male,No,No,No,2,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,Competitor made better offer
1,1,Los Angeles,90005,34.059281,-118.30742,Female,No,No,Yes,2,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,Moved
2,1,Los Angeles,90006,34.048013,-118.293953,Female,No,No,Yes,8,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,Moved
3,1,Los Angeles,90010,34.062125,-118.315709,Female,No,Yes,Yes,28,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,Moved
4,1,Los Angeles,90015,34.039224,-118.266293,Male,No,No,Yes,49,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,Competitor had better devices
5,1,Los Angeles,90020,34.066367,-118.309868,Female,No,Yes,No,10,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,Competitor offered higher download speeds
6,1,Los Angeles,90022,34.02381,-118.156582,Male,Yes,No,No,1,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,Competitor offered more data
7,1,Los Angeles,90024,34.066303,-118.435479,Male,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,Competitor made better offer
8,1,Los Angeles,90028,34.099869,-118.326843,Male,No,Yes,Yes,47,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,Competitor had better devices
9,1,Los Angeles,90029,34.089953,-118.294824,Male,No,Yes,No,1,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,Competitor had better devices
